baseline,station_id,horizon_minutes,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae,absolute_error,total_demand
persistence,ALL,15,8064,82.579012,17.293990,62.775298,,
persistence,02300,15,672,79.427775,20.572225,62.593750,42063.000000,204465.000000
persistence,03000,15,672,82.191112,17.808888,47.211310,31726.000000,178147.000000
persistence,05000,15,672,82.250242,17.749758,61.211310,41134.000000,231744.000000
persistence,05100,15,672,84.167300,15.832700,95.183036,63963.000000,403993.000000
persistence,06000,15,672,81.869740,18.130260,93.287202,62689.000000,345770.000000
persistence,06111,15,672,83.655870,16.344130,40.104167,26950.000000,164891.000000
persistence,07105,15,672,82.944938,17.055062,47.069940,31631.000000,185464.000000
persistence,07107,15,672,84.814488,15.185512,44.333333,29792.000000,196187.000000
persistence,07111,15,672,83.142239,16.857761,116.769345,78469.000000,465477.000000
persistence,09000,15,672,81.628059,18.371941,41.047619,27584.000000,150142.000000
persistence,09122,15,672,82.054807,17.945193,45.654762,30680.000000,170965.000000
persistence,10009,15,672,82.801578,17.198422,58.837798,39539.000000,229899.000000
seasonal_naive_96,ALL,15,8064,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,15,672,69.388404,30.611596,93.139881,62590.000000,204465.000000
seasonal_naive_96,03000,15,672,82.891096,17.108904,45.355655,30479.000000,178147.000000
seasonal_naive_96,05000,15,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
seasonal_naive_96,05100,15,672,83.102925,16.897075,101.581845,68263.000000,403993.000000
seasonal_naive_96,06000,15,672,81.999595,18.000405,92.619048,62240.000000,345770.000000
seasonal_naive_96,06111,15,672,70.042028,29.957972,73.508929,49398.000000,164891.000000
seasonal_naive_96,07105,15,672,79.745395,20.254605,55.900298,37565.000000,185464.000000
seasonal_naive_96,07107,15,672,70.077528,29.922472,87.357143,58704.000000,196187.000000
seasonal_naive_96,07111,15,672,82.438875,17.561125,121.641369,81743.000000,465477.000000
seasonal_naive_96,09000,15,672,81.388286,18.611714,41.583333,27944.000000,150142.000000
seasonal_naive_96,09122,15,672,71.049045,28.950955,73.654762,49496.000000,170965.000000
seasonal_naive_96,10009,15,672,79.763287,20.236713,69.232143,46524.000000,229899.000000
persistence,ALL,30,8064,77.939260,21.871490,79.391121,,
persistence,02300,30,672,73.510381,26.489619,80.598214,54162.000000,204465.000000
persistence,03000,30,672,75.578595,24.421405,64.741071,43506.000000,178147.000000
persistence,05000,30,672,75.691280,24.308720,83.830357,56334.000000,231744.000000
persistence,05100,30,672,79.306325,20.693675,124.406250,83601.000000,403993.000000
persistence,06000,30,672,78.024698,21.975302,113.071429,75984.000000,345770.000000
persistence,06111,30,672,81.434402,18.565598,45.555060,30613.000000,164891.000000
persistence,07105,30,672,80.751521,19.248479,53.123512,35699.000000,185464.000000
persistence,07107,30,672,83.015694,16.984306,49.584821,33321.000000,196187.000000
persistence,07111,30,672,78.640405,21.359595,147.952381,99424.000000,465477.000000
persistence,09000,30,672,75.138203,24.861797,55.547619,37328.000000,150142.000000
persistence,09122,30,672,74.373702,25.626298,65.196429,43812.000000,170965.000000
persistence,10009,30,672,79.805915,20.194085,69.086310,46426.000000,229899.000000
seasonal_naive_96,ALL,30,8064,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,30,672,69.388404,30.611596,93.139881,62590.000000,204465.000000
seasonal_naive_96,03000,30,672,82.891096,17.108904,45.355655,30479.000000,178147.000000
seasonal_naive_96,05000,30,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
seasonal_naive_96,05100,30,672,83.102925,16.897075,101.581845,68263.000000,403993.000000
seasonal_naive_96,06000,30,672,81.999595,18.000405,92.619048,62240.000000,345770.000000
seasonal_naive_96,06111,30,672,70.042028,29.957972,73.508929,49398.000000,164891.000000
seasonal_naive_96,07105,30,672,79.745395,20.254605,55.900298,37565.000000,185464.000000
seasonal_naive_96,07107,30,672,70.077528,29.922472,87.357143,58704.000000,196187.000000
seasonal_naive_96,07111,30,672,82.438875,17.561125,121.641369,81743.000000,465477.000000
seasonal_naive_96,09000,30,672,81.388286,18.611714,41.583333,27944.000000,150142.000000
seasonal_naive_96,09122,30,672,71.049045,28.950955,73.654762,49496.000000,170965.000000
seasonal_naive_96,10009,30,672,79.763287,20.236713,69.232143,46524.000000,229899.000000
persistence,ALL,45,8064,71.870542,27.988169,101.593998,,
persistence,02300,45,672,65.524662,34.475338,104.895833,70490.000000,204465.000000
persistence,03000,45,672,68.247009,31.752991,84.177083,56567.000000,178147.000000
persistence,05000,45,672,67.570250,32.429750,111.836310,75154.000000,231744.000000
persistence,05100,45,672,72.827747,27.172253,163.354167,109774.000000,403993.000000
persistence,06000,45,672,71.176505,28.823495,148.308036,99663.000000,345770.000000
persistence,06111,45,672,77.957560,22.042440,54.086310,36346.000000,164891.000000
persistence,07105,45,672,76.377087,23.622913,65.196429,43812.000000,185464.000000
persistence,07107,45,672,79.726995,20.273005,59.186012,39773.000000,196187.000000
persistence,07111,45,672,72.582104,27.417896,189.916667,127624.000000,465477.000000
persistence,09000,45,672,67.350242,32.649758,72.947917,49021.000000,150142.000000
persistence,09122,45,672,66.457462,33.542538,85.336310,57346.000000,170965.000000
persistence,10009,45,672,76.648876,23.351124,79.886905,53684.000000,229899.000000
seasonal_naive_96,ALL,45,8064,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,45,672,69.388404,30.611596,93.139881,62590.000000,204465.000000
seasonal_naive_96,03000,45,672,82.891096,17.108904,45.355655,30479.000000,178147.000000
seasonal_naive_96,05000,45,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
seasonal_naive_96,05100,45,672,83.102925,16.897075,101.581845,68263.000000,403993.000000
seasonal_naive_96,06000,45,672,81.999595,18.000405,92.619048,62240.000000,345770.000000
seasonal_naive_96,06111,45,672,70.042028,29.957972,73.508929,49398.000000,164891.000000
seasonal_naive_96,07105,45,672,79.745395,20.254605,55.900298,37565.000000,185464.000000
seasonal_naive_96,07107,45,672,70.077528,29.922472,87.357143,58704.000000,196187.000000
seasonal_naive_96,07111,45,672,82.438875,17.561125,121.641369,81743.000000,465477.000000
seasonal_naive_96,09000,45,672,81.388286,18.611714,41.583333,27944.000000,150142.000000
seasonal_naive_96,09122,45,672,71.049045,28.950955,73.654762,49496.000000,170965.000000
seasonal_naive_96,10009,45,672,79.763287,20.236713,69.232143,46524.000000,229899.000000
persistence,ALL,60,8064,65.475538,34.400631,124.870536,,
persistence,02300,60,672,56.407209,43.592791,132.636905,89132.000000,204465.000000
persistence,03000,60,672,60.040865,39.959135,105.931548,71186.000000,178147.000000
persistence,05000,60,672,58.953846,41.046154,141.550595,95122.000000,231744.000000
persistence,05100,60,672,66.050897,33.949103,204.095238,137152.000000,403993.000000
persistence,06000,60,672,65.457674,34.542326,177.733631,119437.000000,345770.000000
persistence,06111,60,672,74.785768,25.214232,61.869048,41576.000000,164891.000000
persistence,07105,60,672,72.644287,27.355713,75.498512,50735.000000,185464.000000
persistence,07107,60,672,75.977511,24.022489,70.132440,47129.000000,196187.000000
persistence,07111,60,672,66.021737,33.978263,235.358631,158161.000000,465477.000000
persistence,09000,60,672,59.382451,40.617549,90.750000,60984.000000,150142.000000
persistence,09122,60,672,58.218349,41.781651,106.297619,71432.000000,170965.000000
persistence,10009,60,672,71.765862,28.234138,96.592262,64910.000000,229899.000000
seasonal_naive_96,ALL,60,8064,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,60,672,69.388404,30.611596,93.139881,62590.000000,204465.000000
seasonal_naive_96,03000,60,672,82.891096,17.108904,45.355655,30479.000000,178147.000000
seasonal_naive_96,05000,60,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
