model,horizon_minutes,station_id,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae
hist_gradient_boosting,15,ALL,8064,86.377855,13.362919,48.505937
hist_gradient_boosting,15,02300,672,84.636551,15.363449,46.745350
hist_gradient_boosting,15,03000,672,86.678195,13.321805,35.316065
hist_gradient_boosting,15,05000,672,87.220882,12.779118,44.069700
hist_gradient_boosting,15,05100,672,88.276103,11.723897,70.481730
hist_gradient_boosting,15,06000,672,86.495069,13.504931,69.488095
hist_gradient_boosting,15,06111,672,85.693465,14.306535,35.104446
hist_gradient_boosting,15,07105,672,85.704871,14.295129,39.452853
hist_gradient_boosting,15,07107,672,86.165216,13.834784,40.389951
hist_gradient_boosting,15,07111,672,87.627781,12.372219,85.699160
hist_gradient_boosting,15,09000,672,86.130528,13.869472,30.987951
hist_gradient_boosting,15,09122,672,86.569716,13.430284,34.168281
hist_gradient_boosting,15,10009,672,85.335878,14.664122,50.167664
hist_gradient_boosting,30,ALL,8064,86.130533,13.561124,49.225402
hist_gradient_boosting,30,02300,672,83.967164,16.032836,48.782052
hist_gradient_boosting,30,03000,672,86.524475,13.475525,35.723578
hist_gradient_boosting,30,05000,672,87.032041,12.967959,44.720932
hist_gradient_boosting,30,05100,672,88.233013,11.766987,70.740778
hist_gradient_boosting,30,06000,672,86.624354,13.375646,68.822873
hist_gradient_boosting,30,06111,672,85.657779,14.342221,35.192012
hist_gradient_boosting,30,07105,672,85.204914,14.795086,40.832676
hist_gradient_boosting,30,07107,672,85.853929,14.146071,41.298738
hist_gradient_boosting,30,07111,672,87.492474,12.507526,86.636392
hist_gradient_boosting,30,09000,672,85.535859,14.464141,32.316593
hist_gradient_boosting,30,09122,672,86.239909,13.760091,35.007350
hist_gradient_boosting,30,10009,672,85.200489,14.799511,50.630845
hist_gradient_boosting,45,ALL,8064,85.567047,14.037078,50.953061
hist_gradient_boosting,45,02300,672,83.397009,16.602991,50.516823
hist_gradient_boosting,45,03000,672,86.014848,13.985152,37.074595
hist_gradient_boosting,45,05000,672,86.219481,13.780519,47.523105
hist_gradient_boosting,45,05100,672,88.189274,11.810726,71.003730
hist_gradient_boosting,45,06000,672,86.252058,13.747942,70.738483
hist_gradient_boosting,45,06111,672,84.815447,15.184553,37.258871
hist_gradient_boosting,45,07105,672,84.178303,15.821697,43.666000
hist_gradient_boosting,45,07107,672,85.046051,14.953949,43.657298
hist_gradient_boosting,45,07111,672,87.304230,12.695770,87.940312
hist_gradient_boosting,45,09000,672,85.113838,14.886162,33.259497
hist_gradient_boosting,45,09122,672,85.292973,14.707027,37.416472
hist_gradient_boosting,45,10009,672,84.981057,15.018943,51.381547
hist_gradient_boosting,60,ALL,8064,84.971993,14.580474,52.925531
hist_gradient_boosting,60,02300,672,82.334387,17.665613,53.749994
hist_gradient_boosting,60,03000,672,85.127969,14.872031,39.425711
