window,model,horizon_minutes,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae
1,hist_gradient_boosting,15,8064,86.377855,13.362919,48.505937
1,hist_gradient_boosting,30,8064,86.130533,13.561124,49.225402
1,hist_gradient_boosting,45,8064,85.567047,14.037078,50.953061
1,hist_gradient_boosting,60,8064,84.971993,14.580474,52.925531
1,persistence,15,8064,82.579012,17.293990,62.775298
1,persistence,30,8064,77.939260,21.871490,79.391121
1,persistence,45,8064,71.870542,27.988169,101.593998
1,persistence,60,8064,65.475538,34.400631,124.870536
1,ridge,15,8064,83.673174,15.822352,57.433411
1,ridge,30,8064,83.638916,15.904296,57.730859
1,ridge,45,8064,82.759438,16.789999,60.945864
1,ridge,60,8064,81.376166,18.246064,66.231221
1,seasonal_naive_96,15,8064,77.890825,21.003340,76.239831
1,seasonal_naive_96,30,8064,77.890825,21.003340,76.239831
1,seasonal_naive_96,45,8064,77.890825,21.003340,76.239831
1,seasonal_naive_96,60,8064,77.890825,21.003340,76.239831
2,hist_gradient_boosting,15,8064,85.902919,13.840391,49.189290
2,hist_gradient_boosting,30,8064,85.637695,14.025842,49.848387
2,hist_gradient_boosting,45,8064,85.018770,14.559466,51.744908
2,hist_gradient_boosting,60,8064,84.281282,15.137696,53.799959
2,persistence,15,8064,82.230086,17.610365,62.587922
2,persistence,30,8064,77.699058,22.221707,78.976811
2,persistence,45,8064,71.799207,27.974684,99.423115
2,persistence,60,8064,65.427467,34.343332,122.057540
2,ridge,15,8064,82.942737,16.575002,58.908201
2,ridge,30,8064,82.995246,16.566326,58.877369
2,ridge,45,8064,82.160764,17.365414,61.717358
2,ridge,60,8064,80.832026,18.647247,66.273041
2,seasonal_naive_96,15,8064,76.829224,22.033673,78.308532
2,seasonal_naive_96,30,8064,76.829224,22.033673,78.308532
2,seasonal_naive_96,45,8064,76.829224,22.033673,78.308532
2,seasonal_naive_96,60,8064,76.829224,22.033673,78.308532
3,hist_gradient_boosting,15,8064,86.073510,13.655417,48.342480
3,hist_gradient_boosting,30,8064,85.859313,13.801231,48.858684
3,hist_gradient_boosting,45,8064,85.314986,14.239781,50.411228
3,hist_gradient_boosting,60,8064,84.504130,14.950777,52.928274
3,persistence,15,8064,82.416814,17.431077,61.708953
3,persistence,30,8064,78.011064,21.781237,77.109251
3,persistence,45,8064,72.088740,27.671088,97.960317
3,persistence,60,8064,65.646984,34.220286,121.145585
3,ridge,15,8064,83.348086,16.098535,56.991530
3,ridge,30,8064,83.282977,16.138934,57.134547
3,ridge,45,8064,82.380816,17.105724,60.557146
3,ridge,60,8064,81.052760,18.466984,65.376239
3,seasonal_naive_96,15,8064,77.800014,21.006889,74.367932
3,seasonal_naive_96,30,8064,77.800014,21.006889,74.367932
3,seasonal_naive_96,45,8064,77.800014,21.006889,74.367932
3,seasonal_naive_96,60,8064,77.800014,21.006889,74.367932
1,hist_gradient_boosting,0,32256,85.761857,13.885399,50.402483
1,persistence,0,32256,74.466088,25.388570,92.157738
1,ridge,0,32256,82.861923,16.690678,60.585339
1,seasonal_naive_96,0,32256,77.890825,21.003340,76.239831
2,hist_gradient_boosting,0,32256,85.210167,14.390849,51.145636
2,persistence,0,32256,74.288955,25.537522,90.761347
2,ridge,0,32256,82.232693,17.288497,61.443993
2,seasonal_naive_96,0,32256,76.829224,22.033673,78.308532
3,hist_gradient_boosting,0,32256,85.437985,14.161802,50.135167
3,persistence,0,32256,74.540900,25.275922,89.481027
3,ridge,0,32256,82.516160,16.952544,60.014865
3,seasonal_naive_96,0,32256,77.800014,21.006889,74.367932
